table_name,row_index,column_name,issue_type,old_value,new_value
dich_vu_xe_trips,334224,ingested_at,freshness_lag_gt_24h,2018-12-03 05:40:05,2018-12-12 09:43:05
dich_vu_xe_trips,65899,ingested_at,freshness_lag_gt_24h,2018-11-29 04:03:07,2018-12-08 16:32:07
dich_vu_xe_trips,439792,ingested_at,freshness_lag_gt_24h,2018-11-27 19:05:24,2018-12-05 08:51:24
dich_vu_xe_trips,279271,ingested_at,freshness_lag_gt_24h,2018-12-16 21:50:03,2018-12-22 04:15:03
dich_vu_xe_trips,329839,ingested_at,freshness_lag_gt_24h,2018-11-28 11:09:07,2018-12-04 09:59:07
dich_vu_xe_trips,577366,ingested_at,freshness_lag_gt_24h,2018-11-27 00:32:13,2018-12-05 08:45:13
dich_vu_xe_trips,296508,ingested_at,freshness_lag_gt_24h,2018-11-30 23:37:59,2018-12-10 10:12:59
dich_vu_xe_trips,276481,ingested_at,freshness_lag_gt_24h,2018-11-28 17:43:08,2018-12-03 12:56:08
dich_vu_xe_trips,105663,ingested_at,freshness_lag_gt_24h,2018-12-03 07:06:56,2018-12-09 21:32:56
dich_vu_xe_trips,637090,ingested_at,freshness_lag_gt_24h,2018-12-17 01:13:10,2018-12-23 00:35:10
dich_vu_xe_trips,561822,ingested_at,freshness_lag_gt_24h,2018-12-15 03:02:07,2018-12-24 23:25:07
dich_vu_xe_trips,564681,ingested_at,freshness_lag_gt_24h,2018-11-29 01:23:41,2018-12-04 10:43:41
dich_vu_xe_trips,12328,ingested_at,freshness_lag_gt_24h,2018-11-27 13:36:23,2018-11-30 20:03:23
dich_vu_xe_trips,72382,ingested_at,freshness_lag_gt_24h,2018-11-27 02:52:23,2018-12-05 01:39:23
dich_vu_xe_trips,633614,ingested_at,freshness_lag_gt_24h,2018-11-26 10:13:09,2018-12-05 18:53:09
dich_vu_xe_trips,142296,ingested_at,freshness_lag_gt_24h,2018-11-27 02:43:21,2018-12-04 13:00:21
dich_vu_xe_trips,555684,ingested_at,freshness_lag_gt_24h,2018-12-15 02:19:10,2018-12-25 01:10:10
dich_vu_xe_trips,470192,ingested_at,freshness_lag_gt_24h,2018-12-04 06:07:00,2018-12-11 09:38:00
dich_vu_xe_trips,534821,ingested_at,freshness_lag_gt_24h,2018-12-17 02:36:06,2018-12-21 11:15:06
dich_vu_xe_trips,81593,ingested_at,freshness_lag_gt_24h,2018-11-30 07:22:03,2018-12-04 08:33:03
dich_vu_xe_trips,515939,ingested_at,freshness_lag_gt_24h,2018-11-27 03:30:22,2018-11-30 14:15:22
dich_vu_xe_trips,485761,ingested_at,freshness_lag_gt_24h,2018-11-27 02:33:23,2018-12-03 10:15:23
dich_vu_xe_trips,282504,ingested_at,freshness_lag_gt_24h,2018-12-14 20:19:07,2018-12-23 14:55:07
dich_vu_xe_trips,253191,ingested_at,freshness_lag_gt_24h,2018-12-04 02:50:57,2018-12-07 14:12:57
dich_vu_xe_trips,25178,ingested_at,freshness_lag_gt_24h,2018-12-13 07:43:10,2018-12-19 19:25:10
dich_vu_xe_trips,459665,ingested_at,freshness_lag_gt_24h,2018-12-01 18:56:00,2018-12-10 18:43:00
dich_vu_xe_trips,186817,ingested_at,freshness_lag_gt_24h,2018-12-15 21:24:12,2018-12-20 00:15:12
dich_vu_xe_trips,596700,ingested_at,freshness_lag_gt_24h,2018-12-18 00:36:12,2018-12-21 09:35:12
dich_vu_xe_trips,380934,ingested_at,freshness_lag_gt_24h,2018-12-15 00:12:03,2018-12-18 11:35:03
dich_vu_xe_trips,118940,ingested_at,freshness_lag_gt_24h,2018-12-15 02:57:11,2018-12-20 00:15:11
dich_vu_xe_trips,176844,ingested_at,freshness_lag_gt_24h,2018-11-27 05:31:22,2018-12-06 20:54:22
dich_vu_xe_trips,234478,ingested_at,freshness_lag_gt_24h,2018-12-04 02:27:01,2018-12-07 16:13:01
dich_vu_xe_trips,315701,ingested_at,freshness_lag_gt_24h,2018-12-14 05:23:12,2018-12-21 14:30:12
dich_vu_xe_trips,46680,ingested_at,freshness_lag_gt_24h,2018-11-26 21:07:09,2018-12-03 19:59:09
dich_vu_xe_trips,680244,ingested_at,freshness_lag_gt_24h,2018-11-27 11:40:22,2018-12-02 07:39:22
dich_vu_xe_trips,517755,ingested_at,freshness_lag_gt_24h,2018-12-16 18:01:09,2018-12-24 07:45:09
dich_vu_xe_trips,111411,ingested_at,freshness_lag_gt_24h,2018-12-14 16:44:08,2018-12-23 21:30:08
dich_vu_xe_trips,264077,ingested_at,freshness_lag_gt_24h,2018-11-27 11:21:23,2018-12-01 06:15:23
dich_vu_xe_trips,237593,ingested_at,freshness_lag_gt_24h,2018-11-30 11:21:57,2018-12-10 07:27:57
dich_vu_xe_trips,45629,ingested_at,freshness_lag_gt_24h,2018-12-15 18:42:08,2018-12-25 09:35:08
dich_vu_xe_trips,689117,ingested_at,freshness_lag_gt_24h,2018-12-03 14:10:00,2018-12-06 13:18:00
dich_vu_xe_trips,47860,ingested_at,freshness_lag_gt_24h,2018-12-03 10:20:02,2018-12-10 02:58:02
dich_vu_xe_trips,111807,ingested_at,freshness_lag_gt_24h,2018-12-03 21:23:55,2018-12-07 09:12:55
dich_vu_xe_trips,369638,ingested_at,freshness_lag_gt_24h,2018-12-01 22:39:05,2018-12-10 15:48:05
dich_vu_xe_trips,317915,ingested_at,freshness_lag_gt_24h,2018-12-16 11:16:10,2018-12-20 17:10:10
dich_vu_xe_trips,619680,ingested_at,freshness_lag_gt_24h,2018-12-15 23:55:08,2018-12-25 03:35:08
dich_vu_xe_trips,499415,ingested_at,freshness_lag_gt_24h,2018-12-04 04:35:01,2018-12-10 18:28:01
dich_vu_xe_trips,367628,ingested_at,freshness_lag_gt_24h,2018-11-27 06:25:22,2018-12-06 07:06:22
dich_vu_xe_trips,39156,ingested_at,freshness_lag_gt_24h,2018-12-13 12:57:10,2018-12-18 21:35:10
dich_vu_xe_trips,150034,ingested_at,freshness_lag_gt_24h,2018-11-30 03:08:59,2018-12-06 22:57:59
dich_vu_xe_trips,223606,ingested_at,freshness_lag_gt_24h,2018-11-30 03:48:58,2018-12-05 05:02:58
dich_vu_xe_trips,117144,ingested_at,freshness_lag_gt_24h,2018-12-16 05:43:09,2018-12-21 04:45:09
dich_vu_xe_trips,442933,ingested_at,freshness_lag_gt_24h,2018-12-17 22:32:11,2018-12-23 19:50:11
dich_vu_xe_trips,242739,ingested_at,freshness_lag_gt_24h,2018-11-29 13:29:03,2018-12-08 09:23:03
dich_vu_xe_trips,166754,ingested_at,freshness_lag_gt_24h,2018-11-28 15:09:07,2018-12-05 19:11:07
dich_vu_xe_trips,203606,ingested_at,freshness_lag_gt_24h,2018-12-03 10:38:56,2018-12-13 01:32:56
dich_vu_xe_trips,639501,ingested_at,freshness_lag_gt_24h,2018-11-27 21:11:24,2018-12-03 06:36:24
dich_vu_xe_trips,524188,ingested_at,freshness_lag_gt_24h,2018-12-18 18:21:09,2018-12-23 03:05:09
